,MSE,RMSE,MAE,R^2,MAPE
exp_smoothing,3879.4866494667067,62.285525200215716,52.64510888438563,-31.530568930767586,432.9168075688581
arima,184.05600209033636,13.566724073641963,10.126177398169856,-0.5433605020768029,103.21300695428108
prophet,841.6075018232219,29.01047227852766,24.061878658867933,-6.057111758452614,209.44111922516063
lstm,22.094872670684666,4.700518340639111,3.4752930803827,0.8147283794547806,22.094348320070793
transformer,10.496483768112604,3.2398277374133033,2.2387087944850026,0.9119840794409723,14.210942561483563
